anchor_movie,anchor_year,system,rank,recommended_movie,recommended_year,genres,similarity,relevance_score,comments
Pulp Fiction,1994,System Z,4,Face/Off,1997,Action | Crime | Science Fiction,0.7639961838722229,1,
Pulp Fiction,1994,System Z,5,Killer Joe,2011,Crime | Thriller | Drama,0.7540181875228882,2,
The Godfather,1972,System X,1,The Godfather Part II,1974,Drama | Crime,0.8737722635269165,2,
The Godfather,1972,System X,2,The Godfather Part III,1990,Crime | Drama | Thriller,0.8326849937438965,2,
The Godfather,1972,System X,3,The Traitor,2019,Drama | Crime | Thriller,0.7118030786514282,2,
The Godfather,1972,System X,4,The Alto Knights,2025,Crime | Drama | History,0.6855515241622925,2,
The Godfather,1972,System X,5,Goodfellas,1990,Drama | Crime,0.6738536357879639,2,
The Godfather,1972,System Y,1,The Godfather Part II,1974,Drama | Crime,0.8038135170936584,2,
The Godfather,1972,System Y,2,The Godfather Part III,1990,Crime | Drama | Thriller,0.6521334052085876,2,
The Godfather,1972,System Y,3,The Alto Knights,2025,Crime | Drama | History,0.5417299866676331,2,
The Godfather,1972,System Y,4,Marco,2024,Action | Crime | Thriller,0.5331426858901978,1,
The Godfather,1972,System Y,5,Mafia!,1998,Comedy | Crime,0.5167990326881409,0,
The Godfather,1972,System Z,1,The Godfather Part II,1974,Drama | Crime,0.8808342218399048,2,
The Godfather,1972,System Z,2,The Godfather Part III,1990,Crime | Drama | Thriller,0.8363823890686035,2,
The Godfather,1972,System Z,3,The Traitor,2019,Drama | Crime | Thriller,0.7800386548042297,2,
The Godfather,1972,System Z,4,Goodfellas,1990,Drama | Crime,0.7480056285858154,2,
The Godfather,1972,System Z,5,Investigation of a Citizen Above Suspicion,1970,Drama | Thriller,0.7452789545059204,1,
The Matrix,1999,System X,1,The Matrix Reloaded,2003,Adventure | Action | Thriller | Science Fiction,0.7494602799415588,2,
The Matrix,1999,System X,2,The Matrix Resurrections,2021,Science Fiction | Action | Adventure,0.7126405239105225,2,
The Matrix,1999,System X,3,The Matrix Revolutions,2003,Adventure | Action | Thriller | Science Fiction,0.7001710534095764,2,
The Matrix,1999,System X,4,Tron: Ares,2025,Science Fiction | Adventure | Action,0.6602691411972046,2,
The Matrix,1999,System X,5,WarGames,1983,Drama | Science Fiction | Thriller,0.6499488949775696,1,
The Matrix,1999,System Y,1,The Matrix Reloaded,2003,Adventure | Action | Thriller | Science Fiction,0.5804276466369629,2,
The Matrix,1999,System Y,2,Commando,1985,Action | Adventure | Thriller,0.5563946962356567,0,
The Matrix,1999,System Y,3,Sneakers,1992,Comedy | Crime | Drama,0.5408908724784851,1,
The Matrix,1999,System Y,4,The Zero Theorem,2013,Drama | Fantasy | Science Fiction,0.5113345980644226,2,
The Matrix,1999,System Y,5,The Artifice Girl,2022,Science Fiction | Thriller | Mystery,0.5091440677642822,2,
The Matrix,1999,System Z,1,The Matrix Reloaded,2003,Adventure | Action | Thriller | Science Fiction,0.7842620015144348,2,
The Matrix,1999,System Z,2,The Matrix Resurrections,2021,Science Fiction | Action | Adventure,0.7835042476654053,2,
The Matrix,1999,System Z,3,The Matrix Revolutions,2003,Adventure | Action | Thriller | Science Fiction,0.7393064498901367,2,
The Matrix,1999,System Z,4,Tron: Ares,2025,Science Fiction | Adventure | Action,0.6849923729896545,2,
The Matrix,1999,System Z,5,Mars Express,2023,Animation | Science Fiction | Thriller,0.6846005916595459,2,
The Shining,1980,System X,1,Doctor Sleep,2019,Horror | Fantasy,0.7353818416595459,2,
The Shining,1980,System X,2,Silent Hill,2006,Horror | Mystery,0.7336722016334534,2,
The Shining,1980,System X,3,The Babadook,2014,Drama | Horror,0.7078391313552856,2,
The Shining,1980,System X,4,Halloween Ends,2022,Horror | Thriller,0.6992611885070801,1,
The Shining,1980,System X,5,Shut In,2016,Drama | Thriller,0.6979954242706299,1,
The Shining,1980,System Y,1,Doctor Sleep,2019,Horror | Fantasy,0.5648029446601868,2,
The Shining,1980,System Y,2,The Ballad of Jack and Rose,2005,Drama,0.5372682213783264,0,
The Shining,1980,System Y,3,The Family Man,2000,Comedy | Drama | Romance | Fantasy,0.5286906957626343,0,
The Shining,1980,System Y,4,Summer Rental,1985,Comedy,0.5215799808502197,0,
The Shining,1980,System Y,5,Key Largo,1948,Crime | Thriller,0.5099589228630066,0,
The Shining,1980,System Z,1,Doctor Sleep,2019,Horror | Fantasy,0.7113970518112183,2,
The Shining,1980,System Z,2,Boy A,2007,Crime | Drama,0.7008051872253418,0,
The Shining,1980,System Z,3,The Sixth Sense,1999,Mystery | Thriller | Drama,0.6846336722373962,2,
The Shining,1980,System Z,4,Presence,2024,Drama | Horror | Thriller,0.6782927513122559,1,
The Shining,1980,System Z,5,Silent Hill,2006,Horror | Mystery,0.6763781309127808,2,
The Silence of the Lambs,1991,System X,1,Hannibal,2001,Crime | Drama | Thriller,0.8559373021125793,2,
The Silence of the Lambs,1991,System X,2,Manhunter,1986,Crime | Horror | Thriller,0.8379466533660889,2,
The Silence of the Lambs,1991,System X,3,Red Dragon,2002,Crime | Thriller | Horror,0.8037261962890625,2,
The Silence of the Lambs,1991,System X,4,Hannibal Rising,2007,Crime | Thriller | Horror,0.7618813514709473,2,
The Silence of the Lambs,1991,System X,5,Nightwatch,1997,Drama | Horror | Mystery | Thriller,0.6445037126541138,1,
The Silence of the Lambs,1991,System Y,1,Hannibal,2001,Crime | Drama | Thriller,0.6747519969940186,2,
The Silence of the Lambs,1991,System Y,2,Red Dragon,2002,Crime | Thriller | Horror,0.5776969194412231,2,
The Silence of the Lambs,1991,System Y,3,Hannibal Rising,2007,Crime | Thriller | Horror,0.538466215133667,2,
The Silence of the Lambs,1991,System Y,4,Manhunter,1986,Crime | Horror | Thriller,0.5271282196044922,2,
The Silence of the Lambs,1991,System Y,5,The A-Team,2010,Action | Comedy | Crime,0.45211273431777954,0,
The Silence of the Lambs,1991,System Z,1,Manhunter,1986,Crime | Horror | Thriller,0.8062915802001953,2,
The Silence of the Lambs,1991,System Z,2,Red Dragon,2002,Crime | Thriller | Horror,0.7939976453781128,2,
The Silence of the Lambs,1991,System Z,3,Hannibal,2001,Crime | Drama | Thriller,0.772159218788147,2,
The Silence of the Lambs,1991,System Z,4,Hannibal Rising,2007,Crime | Thriller | Horror,0.7142105102539062,2,
The Silence of the Lambs,1991,System Z,5,88 Minutes,2007,Thriller | Mystery,0.646352231502533,1,
The Social Network,2010,System X,1,The Social Dilemma,2020,Documentary | Drama,0.6195627450942993,2,
The Social Network,2010,System X,2,Antitrust,2001,Action | Crime | Drama,0.6047942638397217,2,
The Social Network,2010,System X,3,Wall Street,1987,Crime | Drama,0.5890249013900757,1,
The Social Network,2010,System X,4,The Internet's Own Boy: The Story of Aaron Swartz,2014,Documentary | Crime,0.5755683779716492,2,
The Social Network,2010,System X,5,The Girl in the Spider's Web,2018,Action | Crime | Thriller,0.5663682222366333,1,
The Social Network,2010,System Y,1,Ron's Gone Wrong,2021,Animation | Science Fiction | Family | Comedy,0.4539364278316498,1,
The Social Network,2010,System Y,2,The Intern,2015,Comedy,0.4510166049003601,1,
The Social Network,2010,System Y,3,Follow Me,2020,Horror | Thriller,0.43645530939102173,0,
The Social Network,2010,System Y,4,The Internet's Own Boy: The Story of Aaron Swartz,2014,Documentary | Crime,0.42824816703796387,2,
The Social Network,2010,System Y,5,Who Am I,2014,Thriller,0.42554742097854614,1,
The Social Network,2010,System Z,1,The Social Dilemma,2020,Documentary | Drama,0.65438312292099,2,
The Social Network,2010,System Z,2,The Wolf of Wall Street,2013,Crime | Drama | Comedy,0.6244107484817505,1,
The Social Network,2010,System Z,3,Disconnect,2012,Drama | Thriller,0.6062768697738647,2,
The Social Network,2010,System Z,4,Antitrust,2001,Action | Crime | Drama,0.6007579565048218,2,
The Social Network,2010,System Z,5,Wall Street,1987,Crime | Drama,0.5989080667495728,1,
Titanic,1997,System X,1,A Night to Remember,1958,Drama | Action | History,0.6322001218795776,2,
Titanic,1997,System X,2,The Poseidon Adventure,1972,Adventure | Drama | Thriller,0.5595499873161316,1,
Titanic,1997,System X,3,My Favorite Wife,1940,Comedy | Romance,0.5259890556335449,0,
Titanic,1997,System X,4,Niagara,1953,Crime | Thriller,0.5256937742233276,1,
Titanic,1997,System X,5,Dead Calm,1989,Horror | Thriller | Drama,0.5172234177589417,1,
Titanic,1997,System Y,1,Niagara,1953,Crime | Thriller,0.5005004405975342,1,
Titanic,1997,System Y,2,A Night to Remember,1958,Drama | Action | History,0.45615506172180176,2,
Titanic,1997,System Y,3,The Mirror Has Two Faces,1996,Comedy | Drama | Romance,0.4513559937477112,1,
Titanic,1997,System Y,4,Silent Hill,2006,Horror | Mystery,0.4405805170536041,0,
Titanic,1997,System Y,5,Rosetta,1999,Drama,0.3967248201370239,0,
Titanic,1997,System Z,1,A Night to Remember,1958,Drama | Action | History,0.6955850124359131,2,
Titanic,1997,System Z,2,The Poseidon Adventure,1972,Adventure | Drama | Thriller,0.5912202000617981,1,
Titanic,1997,System Z,3,Titan: The OceanGate Disaster,2025,Documentary | Drama,0.5617098808288574,1,
Titanic,1997,System Z,4,Niagara,1953,Crime | Thriller,0.5449157953262329,1,
Titanic,1997,System Z,5,Speed 2: Cruise Control,1997,Action | Thriller,0.5411698818206787,1,
Toy Story,1995,System X,1,Toy Story 2,1999,Animation | Comedy | Family,0.8228141069412231,2,
Toy Story,1995,System X,2,Toy Story 3,2010,Animation | Family | Comedy,0.8176900148391724,2,
Toy Story,1995,System X,3,Toy Story 4,2019,Family | Comedy | Animation | Adventure,0.7380123734474182,2,
Toy Story,1995,System X,4,Big,1988,Fantasy | Drama | Comedy,0.6394257545471191,1,
Toy Story,1995,System X,5,Klaus,2019,Animation | Family | Comedy,0.6019439697265625,1,
Toy Story,1995,System Y,1,Toy Story 3,2010,Animation | Family | Comedy,0.758612334728241,2,
Toy Story,1995,System Y,2,Toy Story 2,1999,Animation | Comedy | Family,0.7400596141815186,2,
Toy Story,1995,System Y,3,Toy Story 4,2019,Family | Comedy | Animation | Adventure,0.5444009304046631,2,
Toy Story,1995,System Y,4,Lightyear,2022,Animation | Science Fiction | Family | Adventure,0.4287939667701721,2,
Toy Story,1995,System Y,5,Child's Play,1988,Horror,0.4268184304237366,0,
Toy Story,1995,System Z,1,Toy Story 2,1999,Animation | Comedy | Family,0.8765871524810791,2,
Toy Story,1995,System Z,2,Toy Story 3,2010,Animation | Family | Comedy,0.8344863653182983,2,
Toy Story,1995,System Z,3,Toy Story 4,2019,Family | Comedy | Animation | Adventure,0.8001761436462402,2,
Toy Story,1995,System Z,4,Big,1988,Fantasy | Drama | Comedy,0.65964674949646,1,
Toy Story,1995,System Z,5,Klaus,2019,Animation | Family | Comedy,0.6000320911407471,1,
